JD,Phase,Flux,col4
1282.8924, 0.69834184, 1.0154310,
1282.8928, 0.69843224, 1.0124665,
1282.9365, 0.70740839, 1.0615234,
1282.9924, 0.71889682, 1.0468971,
1282.9989, 0.72024574, 1.0120507,
1283.0255, 0.72570328, 1.0245230,
1283.0259, 0.72579131, 1.0333806,
1287.0334, 0.54953235, 1.0049881,
1287.0338, 0.54962038, 1.0061222,
1287.0395, 0.55078373, 1.0087491,
1287.0399, 0.55087414, 1.0075898,
1287.0455, 0.55201846, 1.0071070,
1287.0459, 0.55210886, 1.0033141,
1287.0515, 0.55325319, 1.0060328,
1287.0587, 0.55472582, 1.0107194,
1287.0651, 0.55604143, 1.0141056,
1287.0655, 0.55613184, 1.0097969,
1287.0711, 0.55728805, 1.0069189,
1287.0716, 0.55737846, 1.0089722,
1287.0778, 0.55866315, 1.0133715,
1287.0783, 0.55875355, 1.0114841,
1287.0839, 0.55991928, 1.0130055,
1287.0844, 0.56001207, 1.0144625,
1287.0899, 0.56115163, 1.0119686,
1287.0904, 0.56124203, 1.0057999,
1287.0960, 0.56238874, 1.0050324,
1287.0964, 0.56248152, 1.0078472,
1287.1036, 0.56395415, 1.0006962,
1287.1040, 0.56404931, 1.0067948,
1287.1096, 0.56519126, 1.0118680,
1287.1100, 0.56528404, 1.0130377,
1287.1157, 0.56645453, 1.0114919,
1287.1162, 0.56654494, 1.0096341,
1287.1218, 0.56769164, 1.0101534,
1287.1222, 0.56778680, 1.0136510,
1287.1279, 0.56894540, 1.0024763,
1287.1283, 0.56903342, 1.0051545,
1287.1339, 0.57018726, 0.99823314,
1287.1344, 0.57028004, 0.99934477,
1287.1567, 0.57488350, 1.0022693,
1289.1168, 0.97777787, 0.96338296,
1289.1173, 0.97787066, 0.96695399,
1289.1288, 0.98024495, 0.96157813,
1289.1293, 0.98033535, 0.95747042,
1289.1431, 0.98318307, 0.96274972,
1289.1436, 0.98327348, 0.95413101,
1289.1582, 0.98627822, 0.95188034,
1289.1586, 0.98636862, 0.96113235,
1289.8228, 0.12289750, 0.92652655,
1289.8233, 0.12298790, 0.93322664,
1289.8279, 0.12394666, 0.92966193,
1289.8284, 0.12403706, 0.92784977,
1289.8331, 0.12500058, 0.93425357,
1289.8335, 0.12509098, 0.94025797,
1289.8381, 0.12604498, 0.92525679,
1289.8386, 0.12613538, 0.93248415,
1289.8440, 0.12724164, 0.93091613,
1289.8444, 0.12732967, 0.93441129,
